agreement_id,agreement_title,agreement_url,agreement_info,category,subcategory,url,raw_path,markdown_path,agreement_id.1,summary
0,2022 Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/2022%20Commercials%20Contract%20Memorandum%20of%20Agreement_1.pdf,Effective 4/1/2022 - 3/31/2025,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Commercials%20Contract%20Memorandum%20of%20Agreement_1.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Commercials%20Contract%20Memorandum%20of%20Agreement_1.md,0,"This Memorandum of Agreement (MOA) between SAG-AFTRA and The Joint Policy Committee, LLC sets forth agreed-upon revisions to the 2019 SAG-AFTRA Commercials Contract. The agreement establishes a new three-year term from April 1, 2022, to March 31, 2025, and includes key changes such as a 4.88% increase in wages and use fees, clarifications on the use of still photographs and stock footage, amendments to rules for Public Service Announcements, performer rights regarding scripts/storyboards, revised rates for singing contractors, restrictions on the use of 'digital doubles', updates to foreign and theatrical use provisions, and increases/clarifications regarding contributions to Pension and Health Plans."
1,2023 Low Budget Digital Waiver (LBDW),https://www.sagaftra.org/files/sa_documents/Low%20Budget%20Digital%20Waiver%202023%20Bulletin(170671.pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Low%20Budget%20Digital%20Waiver%202023%20Bulletin(170671.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Low%20Budget%20Digital%20Waiver%202023%20Bulletin(170671.md,1,"This agreement extends and modifies the Low Budget Digital Waiver for Commercials made for Traditional Digital. Effective April 1, 2023, the waiver is extended through March 31, 2024. The parties will continue negotiations for further modifications during 2023."
2,2024 Low Budget Digital Waiver (LBDW),https://www.sagaftra.org/files/sa_documents/2024%20Low%20Budget%20Digital%20Waiver.pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2024%20Low%20Budget%20Digital%20Waiver.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2024%20Low%20Budget%20Digital%20Waiver.md,2,"This document outlines the terms and conditions for the SAG-AFTRA Low Budget Digital Waiver (LBDW) for Commercials, effective June 27, 2024, and sunsetting March 31, 2025 (with an extension noted for April 1 - June 26, 2024). It is available to advertiser and advertising agency signatories for commercials made for Traditional Digital use with a maximum production budget of $100,000 per day (excluding certain post-production and use fees). The waiver specifies terms for performer session fees, use fees, edits, P&H contributions, work hours, and notice requirements. Key restrictions include use limited to Traditional Digital, no exclusivity rights, a maximum period of use of 1 year or 13 weeks, and limitations on using the content in other media without additional payment and consent. It also prohibits celebrities, stunts, and hazardous work under this waiver."
3,2022 National Cable Waiver,https://www.sagaftra.org/files/sa_documents/2023%20Cable%20Sideletter(170654769.1).pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2023%20Cable%20Sideletter(170654769.1).pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2023%20Cable%20Sideletter(170654769.1).md,3,"This sideletter to the 2022 SAG-AFTRA Commercials Contract grants a waiver on national cable use rates for signatory advertisers and agencies for commercials transmitted on cable systems with 1,000,001 to 2,000,000 subscribers, setting specific reduced rates for different usage periods."
4,2022 Political Commercial Waiver,https://www.sagaftra.org/files/sa_documents/2022%20SAG-AFTRA%20Political%20Commercial%20Waiver%20SAMPLE.pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20SAG-AFTRA%20Political%20Commercial%20Waiver%20SAMPLE.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20SAG-AFTRA%20Political%20Commercial%20Waiver%20SAMPLE.md,4,"This agreement is a waiver between SAG-AFTRA and a Producer, modifying the terms of the 2022 SAG-AFTRA Commercials Contracts specifically for political, candidate, and issue spots related to active ballot measures. It establishes specific, reduced rates and usage terms for linear domestic (Wild Spot) and various forms of digital use (candidate/sponsor websites, streaming platforms, traditional digital). The waiver applies for a limited term co-terminus with the Commercials Contracts and includes conditions regarding performer consent and commercial removal after the campaign, while explicitly excluding commercials made for Presidential elections."
5,2020 SAG-AFTRA/JPC Commercials Low Budget Digital Waiver,https://www.sagaftra.org/files/2020LowBudgetDigitalWaiver.pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2020LowBudgetDigitalWaiver.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2020LowBudgetDigitalWaiver.md,5,"This document is the 2020 SAG-AFTRA/JPC Commercials Low Budget Digital Waiver, which modifies the standard SAG-AFTRA Commercials Contract for low-budget commercials produced for the Internet and new media platforms. It applies to productions with a budget threshold of $100,000 per production day and distinguishes between ""Connected Shoots"" (shot on the same day as a non-waiver production) and ""Unconnected Shoots"" (digital-only). The waiver outlines specific, often negotiable, terms for performer session fees, use fees, work hours, edits, and other conditions, while maintaining certain standard contract elements like P&H contributions. It prohibits celebrities, stunts, and hazardous work and incorporates other terms from the main contract. The waiver was set to expire on March 31, 2022."
6,Diginet Waiver,https://www.sagaftra.org/files/DiginetsWaiver_11.2021.pdf,This waiver allows for an additional payment option for the use of diginets under the 2019 Commercials Contract. Effective 1/1/2021 - 12/31/2021* *currently extended,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/DiginetsWaiver_11.2021.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/DiginetsWaiver_11.2021.md,6,"This agreement is an extension of the SAG-AFTRA Commercials Contract waiver for the use of commercials on Digital Subchannels (""Diginets""). It amends the payment terms for performers, offering producers the option of a $5,000 upfront payment for unlimited usage or a per-use payment structure for a 13-week cycle. The extension is effective from November 9, 2021, to March 31, 2022."
7,2016 Commercials Contract E-Book,https://www.sagaftra.org/files/sagaftra_commercial_cntrct_ebook.pdf,2016 SAG-AFTRA Commercials Contract in electronic format for Internet,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/sagaftra_commercial_cntrct_ebook.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/sagaftra_commercial_cntrct_ebook.md,7,"The 2016 SAG-AFTRA Commercials Contract is an agreement between SAG-AFTRA and the ANA-4A's Joint Policy Committee (representing advertisers and agencies). Its primary purpose is to govern the employment and compensation of principal performers and extra performers in commercials, recognizing SAG-AFTRA as their exclusive bargaining agent. The scope includes principal performers engaged in the United States for commercials produced domestically or internationally, with usage fees covering showings in the US, Canada, and Mexico. Coverage for extra performers is limited to specific geographic zones. The contract defines ""commercials"" and applies to relevant productions, integrations, and edits from April 1, 2016, onwards."
8,2022 Influencer-Produced Sponsored Content Waiver,https://www.sagaftra.org/files/Waiver%20for%20Influencer-Produced%20Sponsored%20Content.pdf,Effective 2021 ongoing,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Waiver%20for%20Influencer-Produced%20Sponsored%20Content.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Waiver%20for%20Influencer-Produced%20Sponsored%20Content.md,8,"This document, the 2022 Influencer-Produced Sponsored Content Waiver, allows signatory advertising agencies and advertisers to use content self-produced by Influencers for digital distribution (websites, social media, YouTube) under specific terms that deviate from standard SAG-AFTRA collective bargaining agreements, particularly the Commercials Contract. It covers the Influencer's on-camera/voiceover services but excludes content produced by third parties or services covered by other SAG-AFTRA agreements (like TV commercials). Key provisions include a standard allocation for pension & health contributions, requirements for using the content in other media (often requiring additional payment and consent), a maximum digital use period of 1 year, required notice to the Influencer, and prohibitions on stunts/hazardous conditions and certain nudity. The waiver expires on March 31, 2025."
9,JPC & SAG-AFTRA Covid Modifications,https://www.sagaftra.org/files/sa_documents/Update%20on%20trigger%20escalation%20%282%29.pdf,Effective 12/5/2022,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Update%20on%20trigger%20escalation%20%282%29.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Update%20on%20trigger%20escalation%20%282%29.md,9,"This document is a modification agreement between SAG-AFTRA and The Joint Policy Committee, LLC, amending the COVID-19 Commercial Production Safety and Testing Protocol Agreement dated 9/1/22. The primary purpose is to modify the trigger for implementing stricter safety protocols, raising the threshold from eight (8) or more to fourteen (14) or more new COVID-19 hospital admissions per 100,000 people over a 7-day interval."
10,Termination of the COVID-19 Commercial Production Safety and Testing Protocol Agreement,https://www.sagaftra.org/files/sa_documents/Notice%20of%20End%20of%20Commercial%20COVID%20Protocols%202023.docx_.pdf,Effective 5/11/2023,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Notice%20of%20End%20of%20Commercial%20COVID%20Protocols%202023.docx_.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Notice%20of%20End%20of%20Commercial%20COVID%20Protocols%202023.docx_.md,10,"This agreement between SAG-AFTRA and The Joint Policy Committee, LLC terminates the COVID-19 Commercial Production Safety and Testing Protocol Agreement, effective May 11, 2023, aligning with the end of the federal public health emergency. While the protocols expire, productions already underway by May 11, 2023, may continue existing mandatory vaccination policies in Zone A. Additionally, performers can request COVID antigen testing for close contact or extreme exertion scenes from May 12, 2023, through July 31, 2023. Producers wishing to retain other COVID safety protocols must seek separate agreement with SAG-AFTRA."
11,Extension to the COVID-19 Commercial Production Safety and Testing	 Protocol Agreement,https://www.sagaftra.org/files/sa_documents/12.21.22%20Safety%20Protocol%20extension%20(1).pdf,Effective 12/21/2022,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/12.21.22%20Safety%20Protocol%20extension%20(1).pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/12.21.22%20Safety%20Protocol%20extension%20(1).md,11,"This agreement extends the COVID-19 Commercial Production Safety and Testing Protocol Agreement between SAG-AFTRA and The Joint Policy Committee, LLC. The protocols, originally set to expire on December 31, 2022, are now extended until March 31, 2023, continuing measures to protect cast and crew from COVID risk in the workplace."
12,Amended COVID‐19 Commercial Production Safety and Testing Protocols,https://www.sagaftra.org/files/September%201%2C%202022%20COVID%20Protocols.pdf,Effective 9/1/2022,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/September%201%2C%202022%20COVID%20Protocols.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/September%201%2C%202022%20COVID%20Protocols.md,12,"This agreement, effective September 1, 2022, is a temporary protocol between SAG-AFTRA and The Joint Policy Committee, LLC (representing advertising agencies and advertisers) establishing amended safety and testing requirements for commercial productions during the COVID-19 pandemic. It applies to all individuals on set under the SAG-AFTRA Commercials Contract. Key provisions include potential mandatory vaccination policies (where legally permissible), pre-employment and ongoing testing requirements (particularly for unvaccinated individuals), and protocols for positive test results. It also defines an ""Escalation Trigger"" based on local COVID-19 hospital admissions, which determines whether these amended protocols or prior, stricter ones apply, although certain sections like mandatory vaccination and testing compensation apply regardless of the trigger level. The agreement is set to run until December 31, 2022, but can be extended or modified based on changing conditions."
13,Commercial Safety Protocols,https://www.sagaftra.org/files/COVID-19ProtocolsSAG-AFTRA_Commercial_%20PerformersSafeReturntoWork_amended4.22.21.pdf,As of 4/16/21,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/COVID-19ProtocolsSAG-AFTRA_Commercial_%20PerformersSafeReturntoWork_amended4.22.21.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/COVID-19ProtocolsSAG-AFTRA_Commercial_%20PerformersSafeReturntoWork_amended4.22.21.md,13,"This temporary agreement between SAG-AFTRA and The Joint Policy Committee, LLC establishes mandatory COVID-19 safety and testing protocols for all individuals involved in commercial productions covered under the 2019 SAG-AFTRA Commercials Contract, including requirements for testing, health assessments, and temperature checks."
14,COVID-19 Protocols for In-Person Commercial Auditions,https://www.sagaftra.org/files/COVID-19ProtocolsforLiveCommercialCastingSessions.pdf,Effective 9/9/2021,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/COVID-19ProtocolsforLiveCommercialCastingSessions.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/COVID-19ProtocolsforLiveCommercialCastingSessions.md,14,"This document, Appendix B to the SAG-AFTRA Commercials Contract, outlines recommended COVID-19 protocols for in-person commercial auditions. Its main purpose is to protect the health and safety of SAG-AFTRA members and industry personnel. The scope of the protocols covers key areas including sanitation, social distancing, personal protection (PPE), health checks, specific guidelines for minor performers, and procedures related to mandatory vaccination policies required by producers or audition locations. It emphasizes that these are recommended procedures and not new legal obligations, subject to updates as understanding of COVID-19 evolves."
15,2022 Audio Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/2022%20Audio%20Commercials%20Contract%20Memorandum%20of%20Agreement_0.pdf,Effective 4/1/2022 - 3/31/2025,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Audio%20Commercials%20Contract%20Memorandum%20of%20Agreement_0.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Audio%20Commercials%20Contract%20Memorandum%20of%20Agreement_0.md,15,"This Memorandum of Agreement (MOA) between SAG-AFTRA and The Joint Policy Committee, LLC (JPC) sets forth revisions to the 2019 SAG-AFTRA Audio Commercials Contract, renaming it the 2022 SAG-AFTRA Audio Commercials Contract. The main purpose is to update the contract for a new term (April 1, 2022, to March 31, 2025) and implement key changes including phased wage and use fee increases (totaling 9.76%), revised audition procedures (especially for virtual auditions, prohibiting required equipment and mandating accessible copy), updated rules for theatrical/industrial exhibition compensation, clarification on the maximum period of commercial use (21 months), provisions regarding digital doubles, and adjustments to arbitration claim submission timelines."
16,Dynamic Audio Waiver,https://www.sagaftra.org/files/2022%20Dynamic%20Audio%20Waiver%20FINAL.pdf,"This waiver is applicable to dynamic audio commercials only. Dynamic audio advertising utilizes digital technology to create customized, audio-only ads, with elements of a commercial “dynamically” changed at the time of delivery to reflect the listener’s specific circumstances, such as location, weather or time of day.",Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Dynamic%20Audio%20Waiver%20FINAL.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Dynamic%20Audio%20Waiver%20FINAL.md,16,"This Dynamic Audio Waiver establishes specific terms and conditions solely for dynamic audio commercials, which are customized based on listener circumstances, and explicitly excludes standard audio commercials. It details session fees, unlimited digital use fees for various durations, and additional payments for repurposing material or mechanical edits, while also noting applicable contributions and other terms from the main Audio Commercials Contract."
