radioName,agreement_id,agreement_title,agreement_text_url,system_validity_from,system_valid_to,system_impacted_agreements_string
validation,0,2022 Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/2022%20Commercials%20Contract%20Memorandum%20of%20Agreement_1.pdf,2022/04/01,2025/03/31,'2020 SAG-AFTRA/JPC Commercials Low Budget Digital Waiver'
validation,1,2023 Low Budget Digital Waiver (LBDW),https://www.sagaftra.org/files/sa_documents/Low%20Budget%20Digital%20Waiver%202023%20Bulletin(170671.pdf,2023/04/01,2024/03/31,'2020 SAG-AFTRA/JPC Commercials Low Budget Digital Waiver'
validation,2,2024 Low Budget Digital Waiver (LBDW),https://www.sagaftra.org/files/sa_documents/2024%20Low%20Budget%20Digital%20Waiver.pdf,2024/06/27,2025/03/31,"'2022 Commercials Contract Memorandum of Agreement', '2023 Low Budget Digital Waiver (LBDW)'"
validation,3,2022 National Cable Waiver,https://www.sagaftra.org/files/sa_documents/2023%20Cable%20Sideletter(170654769.1).pdf,2022/12/22,,'2022 Commercials Contract Memorandum of Agreement'
validation,4,2022 Political Commercial Waiver,https://www.sagaftra.org/files/sa_documents/2022%20SAG-AFTRA%20Political%20Commercial%20Waiver%20SAMPLE.pdf,2022/XX/XX,,
validation,5,2020 SAG-AFTRA/JPC Commercials Low Budget Digital Waiver,https://www.sagaftra.org/files/2020LowBudgetDigitalWaiver.pdf,2020/XX/XX,2022/03/31,
validation,6,Diginet Waiver,https://www.sagaftra.org/files/DiginetsWaiver_11.2021.pdf,2021/01/01,2022/03/31,
validation,7,2016 Commercials Contract E-Book,https://www.sagaftra.org/files/sagaftra_commercial_cntrct_ebook.pdf,2016/04/01,2019/03/31,
validation,8,2022 Influencer-Produced Sponsored Content Waiver,https://www.sagaftra.org/files/Waiver%20for%20Influencer-Produced%20Sponsored%20Content.pdf,2021/XX/XX,2025/03/31,'2016 Commercials Contract E-Book'
validation,9,JPC & SAG-AFTRA Covid Modifications,https://www.sagaftra.org/files/sa_documents/Update%20on%20trigger%20escalation%20%282%29.pdf,2022/12/05,,'Amended COVID‐19 Commercial Production Safety and Testing Protocols'
validation,10,Termination of the COVID-19 Commercial Production Safety and Testing Protocol Agreement,https://www.sagaftra.org/files/sa_documents/Notice%20of%20End%20of%20Commercial%20COVID%20Protocols%202023.docx_.pdf,2023/05/11,,"'Extension to the COVID-19 Commercial Production Safety and Testing Protocol Agreement', 'Amended COVID‐19 Commercial Production Safety and Testing Protocols'"
validation,11,Extension to the COVID-19 Commercial Production Safety and Testing	 Protocol Agreement,https://www.sagaftra.org/files/sa_documents/12.21.22%20Safety%20Protocol%20extension%20(1).pdf,2022/12/21,2023/03/31,'Amended COVID‐19 Commercial Production Safety and Testing Protocols'
validation,12,Amended COVID‐19 Commercial Production Safety and Testing Protocols,https://www.sagaftra.org/files/September%201%2C%202022%20COVID%20Protocols.pdf,2022/09/01,,"'Commercial Safety Protocols', '2022 Commercials Contract Memorandum of Agreement'"
validation,13,Commercial Safety Protocols,https://www.sagaftra.org/files/COVID-19ProtocolsSAG-AFTRA_Commercial_%20PerformersSafeReturntoWork_amended4.22.21.pdf,2021/04/19,2022/03/31,'2016 Commercials Contract E-Book'
validation,14,COVID-19 Protocols for In-Person Commercial Auditions,https://www.sagaftra.org/files/COVID-19ProtocolsforLiveCommercialCastingSessions.pdf,2021/09/09,,'2016 Commercials Contract E-Book'
validation,15,2022 Audio Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/2022%20Audio%20Commercials%20Contract%20Memorandum%20of%20Agreement_0.pdf,2022/04/01,2025/03/31,'2019 Audio Commercials Contract Memorandum of Agreement'
validation,16,Dynamic Audio Waiver,https://www.sagaftra.org/files/2022%20Dynamic%20Audio%20Waiver%20FINAL.pdf,XXXX/XX/XX,,'2022 Audio Commercials Contract Memorandum of Agreement'
validation,17,Dynamic A.I. Audio Commercials Waiver,https://www.sagaftra.org/files/sa_documents/Dynamic%20A.I.%20Audio%20Commercials%20Waiver.pdf,XX/XX/XX,,'2022 Audio Commercials Contract Memorandum of Agreement'
validation,18,2022 SAG-AFTRA Jingle Agreement,https://www.sagaftra.org/files/sa_documents/2022%20Jingle%20Agreement%20(1).pdf,2022/04/01,2025/03/31,'2022 Commercials Contract Memorandum of Agreement'
validation,19,2016 Audio Commercials Contract E-Book,https://www.sagaftra.org/files/sa_documents/2016%20sagaftra_audio_commercial_cntrct_ebook.pdf,2016/04/01,2019/03/31,
validation,20,2019 Audio Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/sa_documents/2019%20Audio%20Commercials%20Contract%20MOA%20without%20rate%20sheets_0.pdf,2019/04/01,2022/03/31,'2016 Audio Commercials Contract E-Book'
validation,21,2022 Corporate Educational and Non-Broadcast Contract Ebook,https://www.sagaftra.org/sites/default/files/Corporate%20Educational%20and%20Non-Broadcast%20Contract%20Ebook.pdf,2022/11/01,2025/XX/XX,"'2022 Commercials Contract Memorandum of Agreement', '2022 Audio Commercials Contract Memorandum of Agreement', 'COVID-19 Production Safety and Testing Protocol Agreement for Corporate-Educational and Non-Broadcast Contracts'"
validation,22,12/21/22 Extension to the COVID-19 Co/Ed & Non-Broadcast Contract Production Safety & Testing Protocol Agreement,https://www.sagaftra.org/sites/default/files/Co-Ed%2012.22.22%20Safety%20Protocol%20extension.pdf,2022/12/21,2023/03/31,'COVID-19 Production Safety and Testing Protocol Agreement for Corporate-Educational and Non-Broadcast Contracts'
validation,23,Notice of Termination of Co-Ed COVID Protocols 2023,https://www.sagaftra.org/sites/default/files/Notice%20of%20End%20of%20Co-Ed%20COVID%20Protocols%202023.docx%20%283%29.pdf,2023/05/11,2023/07/31,'COVID-19 Production Safety and Testing Protocol Agreement for Corporate-Educational and Non-Broadcast Contracts'
validation,24,COVID-19 Production Safety and Testing Protocol Agreement for Corporate-Educational and Non-Broadcast Contracts,https://www.sagaftra.org/sites/default/files/CoEdProtocols.pdf,2022/01/07,2022/12/31,'2022 Corporate Educational and Non-Broadcast Contract Ebook'
