agreement_title,agreement_url,agreement_info,category,subcategory,url,raw_path,markdown_path
2022 Commercials Contract Memorandum of Agreement,https://www.sagaftra.org/files/2022%20Commercials%20Contract%20Memorandum%20of%20Agreement_1.pdf,Effective 4/1/2022 - 3/31/2025,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20Commercials%20Contract%20Memorandum%20of%20Agreement_1.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20Commercials%20Contract%20Memorandum%20of%20Agreement_1.md
2023 Low Budget Digital Waiver (LBDW),https://www.sagaftra.org/files/sa_documents/Low%20Budget%20Digital%20Waiver%202023%20Bulletin(170671.pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Low%20Budget%20Digital%20Waiver%202023%20Bulletin(170671.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Low%20Budget%20Digital%20Waiver%202023%20Bulletin(170671.md
2024 Low Budget Digital Waiver (LBDW),https://www.sagaftra.org/files/sa_documents/2024%20Low%20Budget%20Digital%20Waiver.pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2024%20Low%20Budget%20Digital%20Waiver.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2024%20Low%20Budget%20Digital%20Waiver.md
2022 National Cable Waiver,https://www.sagaftra.org/files/sa_documents/2023%20Cable%20Sideletter(170654769.1).pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2023%20Cable%20Sideletter(170654769.1).pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2023%20Cable%20Sideletter(170654769.1).md
2022 Political Commercial Waiver,https://www.sagaftra.org/files/sa_documents/2022%20SAG-AFTRA%20Political%20Commercial%20Waiver%20SAMPLE.pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2022%20SAG-AFTRA%20Political%20Commercial%20Waiver%20SAMPLE.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2022%20SAG-AFTRA%20Political%20Commercial%20Waiver%20SAMPLE.md
2020 SAG-AFTRA/JPC Commercials Low Budget Digital Waiver,https://www.sagaftra.org/files/2020LowBudgetDigitalWaiver.pdf,,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/2020LowBudgetDigitalWaiver.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/2020LowBudgetDigitalWaiver.md
Diginet Waiver,https://www.sagaftra.org/files/DiginetsWaiver_11.2021.pdf,This waiver allows for an additional payment option for the use of diginets under the 2019 Commercials Contract. Effective 1/1/2021 - 12/31/2021* *currently extended,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/DiginetsWaiver_11.2021.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/DiginetsWaiver_11.2021.md
2016 Commercials Contract E-Book,https://www.sagaftra.org/files/sagaftra_commercial_cntrct_ebook.pdf,2016 SAG-AFTRA Commercials Contract in electronic format for Internet,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/sagaftra_commercial_cntrct_ebook.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/sagaftra_commercial_cntrct_ebook.md
2022 Influencer-Produced Sponsored Content Waiver,https://www.sagaftra.org/files/Waiver%20for%20Influencer-Produced%20Sponsored%20Content.pdf,Effective 2021 ongoing,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Waiver%20for%20Influencer-Produced%20Sponsored%20Content.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Waiver%20for%20Influencer-Produced%20Sponsored%20Content.md
JPC & SAG-AFTRA Covid Modifications,https://www.sagaftra.org/files/sa_documents/Update%20on%20trigger%20escalation%20%282%29.pdf,Effective 12/5/2022,Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/raw/Update%20on%20trigger%20escalation%20%282%29.pdf,/Users/juankostelec/Google_drive/Projects/legal-assistant-bot/data/markdown/Update%20on%20trigger%20escalation%20%282%29.md
